"Timestamp","Discount","NetRevenue","AvgTransactionValue","Hour","TimeOfDay","DayType","Date","HasDiscount","IsHoliday","AvgTxnValueCategory","RevenueCategory"
2025-02-16 08:00:00,0,0,0,8,"Morning","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 09:00:00,0,0,0,9,"Morning","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 10:00:00,0,1600000,1600000,10,"Morning","Weekend",2025-02-16,"No","FALSE","High","Medium"
2025-02-16 11:00:00,0,0,0,11,"Morning","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 12:00:00,-1210650,24954350,1678023.333,12,"Afternoon","Weekend",2025-02-16,"Yes","FALSE","High","High"
2025-02-16 13:00:00,-523520,15175480,895851.765,13,"Afternoon","Weekend",2025-02-16,"Yes","FALSE","Medium","High"
2025-02-16 14:00:00,0,0,0,14,"Afternoon","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 15:00:00,0,0,0,15,"Afternoon","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 16:00:00,0,0,0,16,"Afternoon","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 17:00:00,0,0,0,17,"Afternoon","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 18:00:00,0,0,0,18,"Evening","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 19:00:00,0,0,0,19,"Evening","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-16 20:00:00,0,0,0,20,"Evening","Weekend",2025-02-16,"No","FALSE","Zero","Zero"
2025-02-17 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 09:00:00,0,1460000,1460000,9,"Morning","Weekday",2025-02-17,"No","FALSE","High","Medium"
2025-02-17 10:00:00,0,0,0,10,"Morning","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 11:00:00,0,0,0,11,"Morning","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 12:00:00,0,0,0,12,"Afternoon","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 14:00:00,0,0,0,14,"Afternoon","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 15:00:00,0,0,0,15,"Afternoon","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 16:00:00,-66500,883500,883500,16,"Afternoon","Weekday",2025-02-17,"Yes","FALSE","Medium","Medium"
2025-02-17 17:00:00,0,0,0,17,"Afternoon","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 18:00:00,0,0,0,18,"Evening","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-17 19:00:00,-685000,2827000,942333.333,19,"Evening","Weekday",2025-02-17,"Yes","FALSE","Medium","High"
2025-02-17 20:00:00,0,0,0,20,"Evening","Weekday",2025-02-17,"No","FALSE","Zero","Zero"
2025-02-18 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 09:00:00,0,0,0,9,"Morning","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 10:00:00,0,0,0,10,"Morning","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 11:00:00,0,0,0,11,"Morning","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 12:00:00,0,0,0,12,"Afternoon","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 14:00:00,-70000,12598000,1262700,14,"Afternoon","Weekday",2025-02-18,"Yes","FALSE","High","High"
2025-02-18 15:00:00,0,0,0,15,"Afternoon","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 16:00:00,0,0,0,16,"Afternoon","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 17:00:00,0,0,0,17,"Afternoon","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 18:00:00,0,0,0,18,"Evening","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 19:00:00,0,0,0,19,"Evening","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-18 20:00:00,0,0,0,20,"Evening","Weekday",2025-02-18,"No","FALSE","Zero","Zero"
2025-02-19 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-19,"No","FALSE","Zero","Zero"
2025-02-19 09:00:00,0,1345000,672500,9,"Morning","Weekday",2025-02-19,"No","FALSE","Medium","Medium"
2025-02-19 10:00:00,0,5e+05,5e+05,10,"Morning","Weekday",2025-02-19,"No","FALSE","Low","Low"
2025-02-19 11:00:00,0,1250000,1250000,11,"Morning","Weekday",2025-02-19,"No","FALSE","High","Medium"
2025-02-19 12:00:00,0,0,0,12,"Afternoon","Weekday",2025-02-19,"No","FALSE","Zero","Zero"
2025-02-19 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-19,"No","FALSE","Zero","Zero"
2025-02-19 14:00:00,0,5005000,2646500,14,"Afternoon","Weekday",2025-02-19,"No","FALSE","High","High"
2025-02-19 15:00:00,0,425000,425000,15,"Afternoon","Weekday",2025-02-19,"No","FALSE","Low","Low"
2025-02-19 16:00:00,0,0,0,16,"Afternoon","Weekday",2025-02-19,"No","FALSE","Zero","Zero"
2025-02-19 17:00:00,0,4700000,5170000,17,"Afternoon","Weekday",2025-02-19,"No","FALSE","High","High"
2025-02-19 18:00:00,0,1350000,1350000,18,"Evening","Weekday",2025-02-19,"No","FALSE","High","Medium"
2025-02-19 19:00:00,0,0,0,19,"Evening","Weekday",2025-02-19,"No","FALSE","Zero","Zero"
2025-02-19 20:00:00,0,1200000,1200000,20,"Evening","Weekday",2025-02-19,"No","FALSE","Medium","Medium"
2025-02-20 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 09:00:00,0,0,0,9,"Morning","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 10:00:00,0,0,0,10,"Morning","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 11:00:00,0,0,0,11,"Morning","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 12:00:00,0,0,0,12,"Afternoon","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 14:00:00,0,1850000,1850000,14,"Afternoon","Weekday",2025-02-20,"No","FALSE","High","High"
2025-02-20 15:00:00,-1e+05,1880000,1880000,15,"Afternoon","Weekday",2025-02-20,"Yes","FALSE","High","High"
2025-02-20 16:00:00,0,0,0,16,"Afternoon","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 17:00:00,0,0,0,17,"Afternoon","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-20 18:00:00,0,950000,1045000,18,"Evening","Weekday",2025-02-20,"No","FALSE","Medium","Medium"
2025-02-20 19:00:00,0,4470000,1490000,19,"Evening","Weekday",2025-02-20,"No","FALSE","High","High"
2025-02-20 20:00:00,0,0,0,20,"Evening","Weekday",2025-02-20,"No","FALSE","Zero","Zero"
2025-02-21 08:00:00,0,0,0,8,"Morning","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 09:00:00,0,0,0,9,"Morning","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 10:00:00,-193000,4082000,2049500,10,"Morning","Weekend",2025-02-21,"Yes","FALSE","High","High"
2025-02-21 11:00:00,0,9e+05,9e+05,11,"Morning","Weekend",2025-02-21,"No","FALSE","Medium","Medium"
2025-02-21 12:00:00,0,0,0,12,"Afternoon","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 13:00:00,0,0,0,13,"Afternoon","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 14:00:00,-1134000,9951000,3539866.667,14,"Afternoon","Weekend",2025-02-21,"Yes","FALSE","High","High"
2025-02-21 15:00:00,0,0,0,15,"Afternoon","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 16:00:00,0,0,0,16,"Afternoon","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 17:00:00,0,0,0,17,"Afternoon","Weekend",2025-02-21,"No","FALSE","Zero","Zero"
2025-02-21 18:00:00,0,1705000,852500,18,"Evening","Weekend",2025-02-21,"No","FALSE","Medium","High"
2025-02-21 19:00:00,0,2275000,1165500,19,"Evening","Weekend",2025-02-21,"No","FALSE","Medium","High"
2025-02-21 20:00:00,0,1050000,1075000,20,"Evening","Weekend",2025-02-21,"No","FALSE","Medium","Medium"
2025-02-21 21:00:00,0,425000,425000,21,"Evening","Weekend",2025-02-21,"No","FALSE","Low","Low"
2025-02-22 08:00:00,0,0,0,8,"Morning","Weekend",2025-02-22,"No","FALSE","Zero","Zero"
2025-02-22 09:00:00,0,0,0,9,"Morning","Weekend",2025-02-22,"No","FALSE","Zero","Zero"
2025-02-22 10:00:00,0,0,0,10,"Morning","Weekend",2025-02-22,"No","FALSE","Zero","Zero"
2025-02-22 11:00:00,0,570000,631000,11,"Morning","Weekend",2025-02-22,"No","FALSE","Medium","Low"
2025-02-22 12:00:00,0,0,0,12,"Afternoon","Weekend",2025-02-22,"No","FALSE","Zero","Zero"
2025-02-22 13:00:00,0,850000,850000,13,"Afternoon","Weekend",2025-02-22,"No","FALSE","Medium","Medium"
2025-02-22 14:00:00,0,330000,330000,14,"Afternoon","Weekend",2025-02-22,"No","FALSE","Low","Low"
2025-02-22 15:00:00,0,0,0,15,"Afternoon","Weekend",2025-02-22,"No","FALSE","Zero","Zero"
2025-02-22 16:00:00,0,580000,580000,16,"Afternoon","Weekend",2025-02-22,"No","FALSE","Medium","Low"
2025-02-22 17:00:00,-1000,1474000,766000,17,"Afternoon","Weekend",2025-02-22,"Yes","FALSE","Medium","Medium"
2025-02-22 18:00:00,0,0,0,18,"Evening","Weekend",2025-02-22,"No","FALSE","Zero","Zero"
2025-02-22 19:00:00,0,330000,347000,19,"Evening","Weekend",2025-02-22,"No","FALSE","Low","Low"
2025-02-22 20:00:00,0,975000,487500,20,"Evening","Weekend",2025-02-22,"No","FALSE","Low","Medium"
2025-02-23 08:00:00,0,0,0,8,"Morning","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 09:00:00,0,0,0,9,"Morning","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 10:00:00,0,0,0,10,"Morning","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 11:00:00,0,0,0,11,"Morning","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 12:00:00,0,2730000,968333.333,12,"Afternoon","Weekend",2025-02-23,"No","FALSE","Medium","High"
2025-02-23 13:00:00,0,0,0,13,"Afternoon","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 14:00:00,0,0,0,14,"Afternoon","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 15:00:00,0,0,0,15,"Afternoon","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 16:00:00,0,0,0,16,"Afternoon","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 17:00:00,-220000,2740000,1413000,17,"Afternoon","Weekend",2025-02-23,"Yes","FALSE","High","High"
2025-02-23 18:00:00,0,420000,420000,18,"Evening","Weekend",2025-02-23,"No","FALSE","Low","Low"
2025-02-23 19:00:00,0,0,0,19,"Evening","Weekend",2025-02-23,"No","FALSE","Zero","Zero"
2025-02-23 20:00:00,0,650000,650000,20,"Evening","Weekend",2025-02-23,"No","FALSE","Medium","Low"
2025-02-24 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 09:00:00,0,0,0,9,"Morning","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 10:00:00,0,0,0,10,"Morning","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 11:00:00,0,2300000,2300000,11,"Morning","Weekday",2025-02-24,"No","FALSE","High","High"
2025-02-24 12:00:00,0,0,0,12,"Afternoon","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 14:00:00,0,410000,410000,14,"Afternoon","Weekday",2025-02-24,"No","FALSE","Low","Low"
2025-02-24 15:00:00,0,0,0,15,"Afternoon","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 16:00:00,0,0,0,16,"Afternoon","Weekday",2025-02-24,"No","FALSE","Zero","Zero"
2025-02-24 17:00:00,0,1460000,730000,17,"Afternoon","Weekday",2025-02-24,"No","FALSE","Medium","Medium"
2025-02-24 18:00:00,0,425000,464000,18,"Evening","Weekday",2025-02-24,"No","FALSE","Low","Low"
2025-02-24 19:00:00,0,625000,625000,19,"Evening","Weekday",2025-02-24,"No","FALSE","Medium","Low"
2025-02-24 20:00:00,-96000,984000,984000,20,"Evening","Weekday",2025-02-24,"Yes","FALSE","Medium","Medium"
2025-02-25 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-25,"No","FALSE","Zero","Zero"
2025-02-25 09:00:00,0,0,0,9,"Morning","Weekday",2025-02-25,"No","FALSE","Zero","Zero"
2025-02-25 10:00:00,-35350,0,0,10,"Morning","Weekday",2025-02-25,"Yes","FALSE","Zero","Zero"
2025-02-25 11:00:00,-685000,0,0,11,"Morning","Weekday",2025-02-25,"Yes","FALSE","Zero","Zero"
2025-02-25 12:00:00,0,0,0,12,"Afternoon","Weekday",2025-02-25,"No","FALSE","Zero","Zero"
2025-02-25 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-25,"No","FALSE","Zero","Zero"
2025-02-25 14:00:00,0,360000,360000,14,"Afternoon","Weekday",2025-02-25,"No","FALSE","Low","Low"
2025-02-25 15:00:00,0,520000,520000,15,"Afternoon","Weekday",2025-02-25,"No","FALSE","Medium","Low"
2025-02-25 16:00:00,-50000,1520000,506666.667,16,"Afternoon","Weekday",2025-02-25,"Yes","FALSE","Low","Medium"
2025-02-25 17:00:00,0,0,0,17,"Afternoon","Weekday",2025-02-25,"No","FALSE","Zero","Zero"
2025-02-25 18:00:00,0,350000,350000,18,"Evening","Weekday",2025-02-25,"No","FALSE","Low","Low"
2025-02-25 19:00:00,-80000,4050000,1350000,19,"Evening","Weekday",2025-02-25,"Yes","FALSE","High","High"
2025-02-25 20:00:00,0,0,0,20,"Evening","Weekday",2025-02-25,"No","FALSE","Zero","Zero"
2025-02-26 08:00:00,0,0,0,8,"Morning","Weekday",2025-02-26,"No","FALSE","Zero","Zero"
2025-02-26 09:00:00,0,0,0,9,"Morning","Weekday",2025-02-26,"No","FALSE","Zero","Zero"
2025-02-26 10:00:00,0,0,0,10,"Morning","Weekday",2025-02-26,"No","FALSE","Zero","Zero"
2025-02-26 11:00:00,0,0,0,11,"Morning","Weekday",2025-02-26,"No","FALSE","Zero","Zero"
2025-02-26 12:00:00,0,1650000,1650000,12,"Afternoon","Weekday",2025-02-26,"No","FALSE","High","High"
2025-02-26 13:00:00,0,0,0,13,"Afternoon","Weekday",2025-02-26,"No","FALSE","Zero","Zero"
2025-02-26 14:00:00,0,0,0,14,"Afternoon","Weekday",2025-02-26,"No","FALSE","Zero","Zero"
2025-02-26 15:00:00,0,9e+05,9e+05,15,"Afternoon","Weekday",2025-02-26,"No","FALSE","Medium","Medium"
